url;vendor;flows;percents;
download.windowsupdate.com;Microsoft;4039;0.9953178905864958;
s.symcd.com;Microsoft;1010;0.9692898272552783;
p42-ckdatabase.icloud.com;Apple;1147;0.9922145328719724;
cdn.microsoft.com.edgesuite.net;Microsoft;2162;0.997692662667282;
cl3.apple.com;Apple;26497;0.998869076789686;
au.download.windowsupdate.com;Microsoft;24724;0.9977401129943503;
www.lenovo.com;Microsoft;1439;0.9972279972279973;
clients3.google.com;Google;76081;0.9953165269038057;
ts.eset.com;Microsoft;5751;0.9922360248447205;
0.vortex-win.data.microsoft.com;Microsoft;50091;0.9981866007731856;
resolver.msg.xiaomi.net;Google;3033;0.9986829107672045;
init.ess.apple.com;Apple;3897;0.9989746218918226;
hp-eus-s-msn-com.akamaized.net;Microsoft;11659;0.9984585081784705;
dm2301.storage.live.com;Microsoft;1240;0.9763779527559056;
cs.dds.microsoft.com;Microsoft;2073;0.9975938402309913;
dnsproxy.ff.avast.com;Microsoft;8160;0.9991428921268519;
bn1302.storage.live.com;Microsoft;1113;0.9964189794091316;
prw.lenovomm.com;Google;1180;0.9672131147540983;
www.msftconnecttest.com;Microsoft;18261;0.9985782249685569;
docs.mcneel.com;Microsoft;2715;1.0;
winphone.wns.windows.com;Microsoft;1081;0.9935661764705882;
system.donation-tools.org;Microsoft;1363;1.0;
p21-keyvalueservice.icloud.com;Apple;1963;0.9859367152184831;
iphonesubmissions.apple.com;Apple;2375;0.9991586032814472;
cfg.cml.ksmobile.com;Google;2417;0.9905737704918033;
ccc.sys.miui.com;Google;3739;0.9780277269160346;
crl.usertrust.com;Microsoft;4746;0.9970588235294118;
travel.tile.appex.bing.com;Microsoft;1790;1.0;
n.m.ksmobile.net;Google;1529;0.9986936642717178;
